Date,MovingR0,Flag
2020-07-18,1.034713039,Historic
2020-07-19,1.050650197,Historic
2020-07-20,1.066496533,Historic
2020-07-21,1.083257866,Historic
2020-07-22,1.082675775,Historic
2020-07-23,1.096105345,Historic
2020-07-24,1.129212723,Historic
2020-07-25,1.122830716,Historic
2020-07-26,1.134927304,Historic
2020-07-27,1.128485909,Historic
2020-07-28,1.124328181,Historic
2020-07-29,1.157531984,Historic
2020-07-30,1.164571741,Historic
2020-07-31,1.125352625,Historic
2020-08-01,1.109015567,Historic
2020-08-02,1.087653667,Historic
2020-08-03,1.104749889,Historic
2020-08-04,1.12132824,Historic
2020-08-05,1.110311892,Historic
2020-08-06,1.126259833,Historic
2020-08-07,1.161006252,Historic
2020-08-08,1.172569517,Historic
2020-08-09,1.165347376,Historic
2020-08-10,1.221424007,Historic
2020-08-11,1.253236743,Historic
2020-08-12,1.250615606,Historic
2020-08-13,1.229704637,Historic
2020-08-14,1.230658396,Historic
2020-08-15,1.194508341,Historic
2020-08-16,1.157052535,Historic
2020-08-17,1.096444435,Historic
2020-08-18,1.031821523,Historic
2020-08-19,1.014730452,Historic
2020-08-20,1.043220095,Historic
2020-08-21,1.038411864,Historic
2020-08-22,1.051204947,Historic
2020-08-23,1.077980677,Historic
2020-08-24,1.072131555,Historic
2020-08-25,1.088025726,Historic
2020-08-26,1.094455004,Historic
2020-08-27,1.09604456,Historic
2020-08-28,1.140460788,Historic
2020-08-29,1.178415854,Historic
2020-08-30,1.205934957,Historic
2020-08-31,1.215694272,Historic
2020-09-01,1.31568809,Historic
2020-09-02,1.483459262,Historic
2020-09-03,1.624161549,Historic
2020-09-04,1.726733765,Historic
2020-09-05,1.787289335,Historic
2020-09-06,1.809419871,Historic
2020-09-07,1.901655689,Historic
2020-09-08,1.843827324,Historic
2020-09-09,1.717773318,Historic
2020-09-10,1.60750175,Historic
2020-09-11,1.490829794,Historic
2020-09-12,1.38422039,Historic
2020-09-13,1.272868387,Historic
2020-09-14,1.174535012,Historic
2020-09-15,1.131793802,Historic
2020-09-16,1.141910736,Historic
2020-09-17,1.161388839,Historic
2020-09-18,1.216733279,Historic
2020-09-19,1.297167044,Historic
2020-09-20,1.418336718,Historic
2020-09-21,1.483530754,Historic
2020-09-22,1.559897063,Historic
2020-09-23,1.606380494,Historic
2020-09-24,1.641232408,Historic
2020-09-25,1.63005144,Historic
2020-09-26,1.592142393,Historic
2020-09-27,1.53946515,Historic
2020-09-28,1.567261032,Historic
2020-09-29,1.574355671,Historic
2020-09-30,1.622613276,Historic
2020-10-01,1.663353947,Historic
2020-10-02,1.711752598,Historic
2020-10-03,1.706635202,Historic
2020-10-04,1.689362658,Historic
2020-10-05,1.694570293,Historic
2020-10-06,1.691322614,Historic
2020-10-07,1.66271002,Historic
2020-10-08,1.619315145,Historic
2020-10-09,1.532788633,Historic
2020-10-10,1.43942467,Historic
2020-10-11,1.348275025,Historic
2020-10-12,1.300778428,Historic
2020-10-13,1.252790795,Historic
2020-10-14,1.211332645,Historic
2020-10-15,1.167877551,Historic
2020-10-16,1.150091415,Historic
2020-10-17,1.140348579,Historic
2020-10-18,1.133866624,Historic
2020-10-19,1.167162707,Historic
2020-10-20,1.203118139,Historic
2020-10-21,1.232179054,Historic
2020-10-22,1.249678082,Historic
2020-10-23,1.25311586,Historic
2020-10-24,1.232631543,Historic
2020-10-25,1.209360713,Historic
2020-10-26,1.180380492,Historic
2020-10-27,1.136857949,Historic
2020-10-28,1.092829448,Historic
2020-10-29,1.067626723,Historic
2020-10-30,1.055312235,Historic
2020-10-31,1.041417636,Historic
2020-11-01,1.030409763,Historic
2020-11-02,1.055562692,Historic
2020-11-03,1.059403444,Historic
2020-11-04,1.054559278,Historic
2020-11-05,1.051481652,Historic
2020-11-06,1.048926898,Historic
2020-11-07,1.054838647,Historic
2020-11-08,1.074495912,Historic
2020-11-09,1.064056715,Historic
2020-11-10,1.067906888,Historic
2020-11-11,1.082520588,Historic
2020-11-12,1.077738829,Historic
2020-11-13,1.072450114,Historic
2020-11-14,1.058849934,Historic
2020-11-15,1.024489533,Historic
2020-11-16,0.987687932,Historic
2020-11-17,0.954309602,Historic
2020-11-18,0.910144988,Historic
2020-11-19,0.869149766,Historic
2020-11-20,0.829397412,Historic
2020-11-21,0.802976172,Historic
2020-11-22,0.788705662,Historic
2020-11-23,0.756472946,Historic
2020-11-24,0.733028173,Historic
2020-11-25,0.727756141,Historic
2020-11-26,0.730925212,Historic
2020-11-27,0.741015351,Historic
2020-11-28,0.760628886,Historic
2020-11-29,0.784072189,Historic
2020-11-30,0.810085804,Historic
2020-12-01,0.841252826,Historic
2020-12-02,0.869398446,Historic
2020-12-03,0.905772645,Historic
2020-12-04,0.941373421,Historic
2020-12-05,0.978190608,Historic
2020-12-06,1.02123255,Historic
2020-12-07,1.063715364,Historic
2020-12-08,1.110812229,Historic
2020-12-09,1.160108633,Historic
2020-12-10,1.219464815,Historic
2020-12-11,1.283861725,Historic
2020-12-12,1.32151672,Historic
2020-12-13,1.364704188,Historic
2020-12-14,1.43947996,Historic
2020-12-15,1.497117081,Historic
2020-12-16,1.541773298,Historic
2020-12-17,1.555330962,Historic
2020-12-18,1.558702238,Historic
2020-12-19,1.509397635,Historic
2020-12-20,1.48696871,Historic
2020-12-21,1.474739632,Historic
2020-12-22,1.456743854,Historic
2020-12-23,1.415848819,Historic
2020-12-24,1.3304782,Historic
2020-12-25,1.158200384,Historic
2020-12-26,1.174164523,Historic
2020-12-27,1.19527311,Historic
2020-12-28,1.151024171,Historic
2020-12-29,1.273744679,Historic
2020-12-30,1.363953989,Historic
2020-12-31,1.418462252,Historic
2021-01-01,1.448551021,Historic
2021-01-02,1.472080779,Historic
2021-01-03,1.434323187,Historic
2021-01-04,1.4681962,Historic
2021-01-05,1.339118177,Historic
2021-01-06,1.228793114,Historic
2021-01-07,1.165647391,Historic
2021-01-08,1.157958798,Historic
2021-01-09,1.0604784,Historic
2021-01-10,0.983289981,Historic
2021-01-11,0.915647793,Historic
2021-01-12,0.865102626,Historic
2021-01-13,0.832048539,Historic
2021-01-14,0.812512881,Historic
2021-01-15,0.806751537,Historic
2021-01-16,0.800811586,Historic
2021-01-17,0.80080089,Historic
2021-01-18,0.788836785,Historic
2021-01-19,0.783625548,Historic
2021-01-20,0.776765836,Historic
2021-01-21,0.767940937,Historic
2021-01-22,0.758018065,Historic
2021-01-23,0.754449487,Historic
2021-01-24,0.74069055,Historic
2021-01-25,0.715015962,Historic
2021-01-26,0.696038409,Historic
2021-01-27,0.687580591,Historic
2021-01-28,0.686298075,Historic
2021-01-29,0.685023776,Historic
2021-01-30,0.695157215,Historic
2021-01-31,0.721257552,Historic
2021-02-01,0.721342004,Historic
2021-02-02,0.720889496,Historic
2021-02-03,0.722137681,Historic
2021-02-04,0.72160859,Historic
2021-02-05,0.719597894,Historic
2021-02-06,0.722712806,Historic
2021-02-07,0.728874108,Historic
2021-02-08,0.717686389,Historic
2021-02-09,0.708585367,Historic
2021-02-10,0.697678314,Historic
2021-02-11,0.689945133,Historic
2021-02-12,0.692295205,Historic
2021-02-13,0.698671836,Historic
2021-02-14,0.709874618,Historic
2021-02-15,0.731127848,Historic
2021-02-16,0.75390392,Historic
2021-02-17,0.7703601,Historic
2021-02-18,0.790448273,Historic
2021-02-19,0.804228873,Historic
2021-02-20,0.826280227,Historic
2021-02-21,0.843971054,Historic
2021-02-22,0.835397067,Historic
2021-02-23,0.822005906,Historic
2021-02-24,0.805929889,Historic
2021-02-25,0.780020885,Historic
2021-02-26,0.751044591,Historic
2021-02-27,0.729132046,Historic
2021-02-28,0.708940727,Historic
2021-03-01,0.672485646,Historic
2021-03-02,0.658274434,Historic
2021-03-03,0.647425056,Historic
2021-03-04,0.644107849,Historic
2021-03-05,0.64323989,Historic
2021-03-06,0.760628886,Historic
2021-03-07,0.784072189,Historic
2021-03-08,0.810085804,Historic
2021-03-09,0.841252826,Historic
2021-03-10,0.869398446,Historic
2021-03-11,0.905772645,Historic
2021-03-12,0.941373421,Future
2021-03-13,0.978190608,Future
2021-03-14,1.02123255,Future
2021-03-15,1.063715364,Future
2021-03-16,1.110812229,Future
2021-03-17,1.160108633,Future
2021-03-18,1.219464815,Future
2021-03-19,1.283861725,Future
2021-03-20,1.32151672,Future
2021-03-21,1.364704188,Future
2021-03-22,1.43947996,Future
2021-03-23,1.497117081,Future
2021-03-24,1.541773298,Future
2021-03-25,1.555330962,Future
2021-03-26,1.558702238,Future
2021-03-27,1.509397635,Future
2021-03-28,1.48696871,Future
2021-03-29,1.474739632,Future
2021-03-30,1.456743854,Future
2021-03-31,1.415848819,Future
2021-04-01,1.3304782,Future
2021-04-02,1.158200384,Future
2021-04-03,1.174164523,Future
2021-04-04,1.19527311,Future
2021-04-05,1.151024171,Future
2021-04-06,1.273744679,Future
2021-04-07,1.363953989,Future
2021-04-08,1.418462252,Future
2021-04-09,1.448551021,Future
2021-04-10,1.472080779,Future
2021-04-11,1.434323187,Future
2021-04-12,1.4681962,Future
2021-04-13,1.339118177,Future
2021-04-14,1.228793114,Future
2021-04-15,1.165647391,Future
2021-04-16,1.157958798,Future
2021-04-17,1.0604784,Future
2021-04-18,0.983289981,Future
2021-04-19,0.915647793,Future
2021-04-20,0.865102626,Future
2021-04-21,0.832048539,Future
2021-04-22,0.812512881,Future
2021-04-23,0.806751537,Future
2021-04-24,0.800811586,Future
2021-04-25,0.80080089,Future
2021-04-26,0.788836785,Future
2021-04-27,0.783625548,Future
2021-04-28,0.785925548,Future
2021-04-29,0.775425548,Future
2021-04-30,0.772662555,Future
